id	name	slug	isAvailable	shortName	description	price	propertiesShort	image_url
337077	Клавиатура Oklick 130M,  USB, черный [337077]	klaviatura-oklick-130m-usb-chernyi-8136	True	Клавиатура Oklick 130M, черный	<p>Клавиатура OKLICK 130M отлично подходит как для офисного, так и для домашнего пользования. Она имеет интересный дизайн, сочетающий строгую расцветку с плавными обтекаемыми формами. На клавиши нанесена русская и английская раскладка, при этом каждый язык выделен своим цветом (белым и желтым).&nbsp;Клавиатура OKLICK 130M подключается к компьютеру с помощью USB-интерфейса. Помимо стандартных клавиш, предусматривается целый ряд дополнительных кнопок для управления веб-интерфейсом. Нижняя часть корпуса оснащена выдвижными ножками, за счет чего можно регулировать положение устройства относительно рабочей поверхности.</p>	449	[{'name': 'тип соединения:', 'value': 'проводная;'}, {'name': 'интерфейс', 'value': 'USB;'}, {'name': 'цвет русских букв:', 'value': 'желтый;'}, {'name': 'цвет английских букв:', 'value': 'белый;'}]	https://cdn.citilink.ru/RVGWSr66oMCWIYD_zz_7IihWX7AmJU_2qFhV1WnUVlI/resizing_type:fit/gravity:sm/width:400/height:400/plain/items/337077_v01_b.jpg
476395	Клавиатура Oklick 717G BLACK DEATH,  USB, черный серый [476395]	klaviatura-oklick-717g-black-death-usb-chernyi-seryi	True	Клавиатура Oklick 717G BLACK DEATH, черный	"<p>Клавиатура OKLICK 717G BLACK DEATH создана для геймеров. Долговечное и прочное устройство оснащено корпусом, изготовленным из качественных материалов, удобные клавиши выдержат несколько миллионов нажатий.</p>

<p>Функционал<br />
Устройство относится к проводному типу и подключается к компьютеру через порт USB. Модель имеет 104 клавиши, которые работают бесшумно, что позволяет играть и печатать как днем, так и ночью. Функционалом предусмотрены мультимедийный и цифровой блоки для полноценного управления ПК.</p>

<p>Внешний вид Черно-серая клавиатура OKLICK 717G BLACK DEATH изготовлена из пластика и металла. Встроенная многоцветная подсветка клавиш работает в постоянном и пульсирующем режимах на разных уровнях яркости. Русские и английские буквы, цифры и символы эффектно выделяются на темном фоне.</p>"	1239	[{'name': 'тип соединения:', 'value': 'проводная;'}, {'name': 'интерфейс', 'value': 'USB;'}, {'name': 'цвет русских букв:', 'value': 'белый;'}, {'name': 'цвет английских букв:', 'value': 'белый;'}, {'name': 'встроено:', 'value': 'подсветка клавиш,'}, {'name': 'особенности:', 'value': 'мультимедийная, для геймеров,'}]	https://cdn.citilink.ru/UHRTUife6s28TPB7wzEunIT7KtxW4u25ECcZBOX1gSk/resizing_type:fit/gravity:sm/width:400/height:400/plain/items/476395_v01_b.jpg
397123	Клавиатура A4TECH Bloody B820R,  USB, черный [b820r black (red switch)]	klaviatura-a4-bloody-b820r-usb-chernyi	True	Клавиатура A4TECH Bloody B820R, черный	"<p>Классической формы клавиатура A4 Bloody B820R создана с использованием инновационной технологии Light Strike. Устройство использует оптические переключатели, обеспечивающие самое быстрое время отклика - 0.2 мс. Это гарантирует отсутствие задержек, которые так мешают геймерам.</p>


<p>Проводная клавиатура A4 Bloody B820R имеет верхнюю панель из алюминиевого сплава, что обеспечивает прочность. Печатная плата оснащена инновационным покрытием, защищающим от воздействия влаги. Технология Anti-Ghost предлагает N-клавишное мультинажатие, с которым можно забыть о залипании любого количества клавиш для всех типов игр.</p>
"	5670	[{'name': 'тип соединения:', 'value': 'проводная;'}, {'name': 'интерфейс', 'value': 'USB;'}, {'name': 'цвет русских букв:', 'value': 'серый;'}, {'name': 'цвет английских букв:', 'value': 'серый;'}, {'name': 'встроено:', 'value': 'подсветка клавиш,'}, {'name': 'конструктив:', 'value': 'механическая;'}, {'name': 'особенности:', 'value': 'для геймеров,'}]	https://cdn.citilink.ru/HBZHc0KYnpXCBQ60_Wysbbn5GuqNiC0YLdPM32eIiLQ/resizing_type:fit/gravity:sm/width:400/height:400/plain/items/397123_v01_b.jpg
1422332	Клавиатура SunWind SW-K900G,  USB, черный [1422332]	klaviatura-sunwind-sw-k900g-usb-chernyi-mkw-1742	True	Клавиатура SunWind SW-K900G, черный	"<div data-v-md-line=""1""><p>Удобная в использовании проводная механическая игровая клавиатура SUNWIND SW-K900G с переключателями Blue поможет создать атмосферу состязательности при участии геймера в виртуальных баталиях. Использованы квадратные, удобные в использовании клавиши. К компьютерным устройствам подключается через интерфейс USB с помощью кабеля длиной 1.8 м. Эффектно выглядит в вечернее время, играя 7 цветами Neon-подсветки.</p>
<p>Клавиатура SUNWIND SW-K900G в конструкции использует мультимедийные дополнительные клавиши. Формат обеспечивает наличие русских и английских прозрачных букв. Цифровой блок не предусмотрен.</p>
</div>"	2559	[{'name': 'тип соединения:', 'value': 'проводная;'}, {'name': 'интерфейс', 'value': 'USB;'}, {'name': 'цвет русских букв:', 'value': 'прозрачный;'}, {'name': 'цвет английских букв:', 'value': 'прозрачный;'}, {'name': 'встроено:', 'value': 'подсветка клавиш,'}, {'name': 'конструктив:', 'value': 'механическая;'}, {'name': 'особенности:', 'value': 'мультимедийная, для геймеров,'}]	https://cdn.citilink.ru/LfsuwL34LK70WzuDoBNPQUM8FkF-BuMMChsxCaBCiIs/resizing_type:fit/gravity:sm/width:400/height:400/plain/items/1422332_v01_b.jpg
499578	Клавиатура Oklick 970G Dark Knight,  USB, черный + серебристый [499578]	klaviatura-oklik-970g-dark-knight-mehanicheskaya-chernyi-usb-for-gamer	True	Клавиатура Oklick 970G Dark Knight, черный	"<p>Поможет создать наиболее комфортные возможности игры геймерская механическая проводная клавиатура ОКЛИК 970G Dark Knight, выполненная в приятном сочетании традиционного черного и серебристого цветов. Укомплектована квадратными клавишами с нанесенными на них английскими буквами, подсвеченными разными цветами. Особенно эффектно выглядит в вечернее время при минимуме освещения. Использование русского алфавита не предусмотрено. Имеет классическую форму, стандартный размер.</p>
<p>Клавиатура ОКЛИК 970G Dark Knight подключается к компьютерному устройству посредством интерфейса USB с помощью кабеля длиной 1.5 м. Пластиковые ножки позволяют отрегулировать ее высоту по желанию геймера.</p>
"	2009	[{'name': 'тип соединения:', 'value': 'проводная;'}, {'name': 'интерфейс', 'value': 'USB;'}, {'name': 'цвет русских букв:', 'value': 'прозрачный;'}, {'name': 'цвет английских букв:', 'value': 'прозрачный;'}, {'name': 'встроено:', 'value': 'подсветка клавиш,'}, {'name': 'конструктив:', 'value': 'механическая;'}, {'name': 'особенности:', 'value': 'для геймеров,'}]	https://cdn.citilink.ru/iSzRocqB1oDQkuD8PvojITj3eaz3Dmg2ZVSt-uQOW2c/resizing_type:fit/gravity:sm/width:400/height:400/plain/items/499578_v01_b.jpg
1402927	Клавиатура HAMA KC-550,  USB, черный [r1182671]	klaviatura-hama-kc-550-usb-chernyi-r1182671	False	Клавиатура HAMA KC-550, черный	"<p>Клавиатура HAMA KC-550 подключается через разъем USB. Отличается удобной подсветкой клавиш, которая позволяет комфортно работать по ночам, не мешая отдыхать близким. Провод достаточно длинный, имеется удобная направляющая для него, в которую он укладывается и не мешает процессу работы. Для удобства пользователя есть специальные приспособления, позволяющие менять угол наклона устройства, достигая самого комфортного состояния.</p>
<p>Устройство имеет квадратные, приятные на ощупь и легкие в нажиме клавиши. Расположены они в классическом порядке, хорошо разделены. Клавиатура HAMA KC-550 создана в классическом стиле, имеет черный цвет с приятной белой подсветкой. Буквы на раскладках английской и русской нанесены белой краской. При демократичной цене является прекрасным приобретением для игры и работы.</p>
"		[{'name': 'тип соединения:', 'value': 'проводная;'}, {'name': 'интерфейс', 'value': 'USB;'}, {'name': 'цвет русских букв:', 'value': 'белый;'}, {'name': 'цвет английских букв:', 'value': 'белый;'}, {'name': 'встроено:', 'value': 'подсветка клавиш,'}]	https://cdn.citilink.ru/HxESBtqTzMqj8vmdAPrRvc1Hr-XTEdAK8CM92HfyYF4/resizing_type:fit/gravity:sm/width:400/height:400/plain/items/1402927_v01_b.jpg
313180	Клавиатура Oklick 180M,  PS/2, черный [313180]	klaviatura-oklick-180m-ps-2-chernyi-180m-ps	True	Клавиатура Oklick 180M, черный	"Лаконичная и удобная клавиатура модели OKLICK 180M в традиционном черном корпусе и в стандартной форме – это полноразмерная клавиатуры для универсального использования. Такая клавиатура отлично подойдет для офисного стола, для домашнего компьютера или моноблока и станет надежным и долговечным, а главное – крайне доступным в цене устройством для ввода информации.
Клавиатура OKLICK 180M предназначена для подключения к компьютеру посредством интерфейса PS/2. Проводной тип соединения обеспечивает бесперебойность связи в любых условиях. Кабель оптимальной длины 1,4 м удобен для подключения и эусплуатации устройства. Эта клавиатура рассчитана на значительное время интенсивного использования – до 10 млн нажатий. Эта модель клавиатуры не требует специальной установки программного обеспечения."	329	[{'name': 'тип соединения:', 'value': 'проводная;'}, {'name': 'интерфейс', 'value': 'PS/2;'}, {'name': 'цвет русских букв:', 'value': 'красный;'}, {'name': 'цвет английских букв:', 'value': 'белый;'}]	https://cdn.citilink.ru/bCef3Jg7RjYnnQinjxiqEN8ml5WsHPHh3stFRORwvsg/resizing_type:fit/gravity:sm/width:400/height:400/plain/items/313180_v01_b.jpg
1147518	Клавиатура A4TECH Fstyler FK10,  USB, черный серый [fk10 grey]	klaviatura-a4-fstyler-fk10-usb-chernyi-seryi-fk10-grey	True	Клавиатура A4TECH Fstyler FK10, черный	"<p>Стандартная клавиатура A4 Fstyler FK10 - это приятная цена и долговечность. Она сделана из прочного пластика черного цвета. Корпус прямоугольный с закругленными углами. Клавиши также закруглены с углов. Буквы на них сделаны в белом цвете, как русская, так и английская раскладки.</p>
<p>Представленная здесь клавиатура A4 Fstyler FK10 подключается к USB-порту компьютера с помощью кабеля. Его длина 1.5 м. Производители наделили клавиатуру дополнительными мультимедийными кнопками и защитой от попадания жидкости. Это периферийное оборудование имеет эргономичную форму, благодаря которой работать за ним легко, меньше устают руки и возрастает скорость набора символов.</p>
"	1099	[{'name': 'тип соединения:', 'value': 'проводная;'}, {'name': 'интерфейс', 'value': 'USB;'}, {'name': 'цвет русских букв:', 'value': 'белый;'}, {'name': 'цвет английских букв:', 'value': 'белый;'}]	https://cdn.citilink.ru/e53airTlzS8h5sIvjYd1w4_isurYC5ML0jOQG_BHw9Y/resizing_type:fit/gravity:sm/width:400/height:400/plain/items/1147518_v01_b.jpg
300818	Клавиатура A4TECH Bloody B314,  USB, c подставкой для запястий, черный	klaviatura-a4-bloody-b314-usb-c-podstavkoi-dlya-zapyastii-chernyi	True	Клавиатура A4TECH Bloody B314, черный	"Игровая эргономичная клавиатура модели A4 Bloody B314 создана с учетом всех потребностей современных геймеров. Один только ее внешний вид и удивительный дизайн поразят воображение и непременно понравятся любителям видеоигр, которые оснащают свою игровую станцию только исключительными периферийными устройствами. Эта клавиатура снабжена комфортной подставкой для запястий, чтобы руки не держались на весу и не уставали в течение нескольких часов игры.
Клавиатура A4 Bloody B314 оборудована всем необходимым техническим оснащением для удобной и эффективной игры. Подсветка клавиш 5 различных уровней яркости с цветовым выделением групп клавиш, отдельно вынесенные мультимедийные клавиши, а также спецклавиши для игр создадут все условия для сокрушительных побед в любой современной видеоигре. Клавиатура совместима со всеми устройствами и ОС."	2899	[{'name': 'тип соединения:', 'value': 'проводная;'}, {'name': 'интерфейс', 'value': 'USB;'}, {'name': 'цвет русских букв:', 'value': 'белый;'}, {'name': 'цвет английских букв:', 'value': 'белый;'}, {'name': 'встроено:', 'value': 'подсветка клавиш,'}, {'name': 'конструктив:', 'value': 'подставка для запястий,'}, {'name': 'особенности:', 'value': 'мультимедийная, для геймеров,'}]	https://cdn.citilink.ru/-d_bDLJjmsOxkwMOxgqHn-AulRYicDS4aQTrFB4EiUw/resizing_type:fit/gravity:sm/width:400/height:400/plain/items/300818_v01_b.jpg
1181122	Клавиатура A4TECH Bloody B500N,  USB, серый	klaviatura-a4-bloody-b500n-usb-chernyi	True	Клавиатура A4TECH Bloody B500N, серый	"<p>Сделанная в Китае клавиатура A4 Bloody B500N обладает гарантийным сроком 12 месяцев. Ее вес равен 800 граммам, а размеры составляют 444х37х132 мм. В качестве основного материала для корпуса производитель выбрал пластик. Оформлена такая модель в черном цвете, сообщающем ей универсальность и практичность. В качестве особенностей можно выделить многоцветную неоновую подсветку.</p>
<p>Благодаря ей клавиатура A4 Bloody B500N смотрится особо привлекательно. Здесь присутствует защита от жидкостей, которая продлевает жизнь устройству. Этот вариант предназначен для геймеров и обладает дополнительными мультимедийными клавишами. Английские и русские буквы, а также функциональные обозначения нанесены на квадратные клавиши разными цветами и хорошо различаются на общем черном фоне.</p>
"	2940	[{'name': 'тип соединения:', 'value': 'проводная;'}, {'name': 'интерфейс', 'value': 'USB;'}, {'name': 'цвет русских букв:', 'value': 'многоцветный;'}, {'name': 'цвет английских букв:', 'value': 'многоцветный;'}, {'name': 'встроено:', 'value': 'подсветка клавиш,'}, {'name': 'особенности:', 'value': 'для геймеров,'}]	https://cdn.citilink.ru/TMPdiT5RANERNaKebbaMu0TXrANYkBV-LFhPELRglqE/resizing_type:fit/gravity:sm/width:400/height:400/plain/items/1181122_v01_b.jpg
